"EUNISCode","B1","B3","B5","D2","D6","O1","O3","O4","P1","P2","P3"
"A1.321",NA,"Insufficient evidence",NA,NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A1.322",NA,"Not sensitive","Medium",NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A1.323",NA,"Medium","Medium","Medium","Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A1.324",NA,"Insufficient evidence","High",NA,"High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A1.325",NA,"Insufficient evidence","High","High","High","Not assessed",NA,"High","Not sensitive","Not sensitive","Not sensitive"
"A1.326",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A1.327",NA,"Insufficient evidence",NA,"Medium","Medium","Not assessed","Insufficient evidence","Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A1.411",NA,"High","Low",NA,"Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A1.4112",NA,"High","Medium",NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.4113",NA,"High","Low",NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.4114",NA,"High","Low",NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.412",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A1.4121",NA,"High","Low",NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.413",NA,"Medium","Medium","Low","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.414",NA,"High","Low","Low","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.421",NA,"Not sensitive","Low",NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.441",NA,"Insufficient evidence",NA,"Low","Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A1.442",NA,"Insufficient evidence",NA,"Low","Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A1.443",NA,"Insufficient evidence",NA,"Low","Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A1.444",NA,"Insufficient evidence",NA,"Low","Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A1.445",NA,"Insufficient evidence","Insufficient evidence",NA,"Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.446",NA,"Insufficient evidence","Low",NA,"Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A1.447",NA,"Insufficient evidence","Low",NA,"Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A1.448",NA,"Insufficient evidence",NA,NA,"Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A1.449",NA,"Not sensitive",NA,NA,"Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A1.44A",NA,"Not sensitive",NA,NA,"Not sensitive","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.451",NA,"Not sensitive","Low",NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.452",NA,"Not sensitive","Low",NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.111",NA,NA,NA,"Not sensitive","Not sensitive","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A2.112","Not sensitive","Not sensitive",NA,"Medium","Low","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A2.211","Not sensitive","Not sensitive","Medium","Low","Low","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A2.22",NA,"Not sensitive",NA,"Not sensitive","Not sensitive","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A2.221",NA,NA,NA,"Not sensitive","Not sensitive","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A2.222",NA,"Not sensitive",NA,"Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A2.2221",NA,"Not sensitive",NA,"Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A2.2222",NA,"Not sensitive",NA,"Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A2.223",NA,"Not sensitive",NA,"Low","Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A2.231",NA,"High","Medium","Low","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.2312",NA,"High","Medium","Low","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.241",NA,"Insufficient evidence","Medium","High","Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.242",NA,"High","Medium","Medium","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.243",NA,"High","Low","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A2.244",NA,"Medium",NA,"Low","Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A2.245",NA,"High","Low","Not sensitive","Not sensitive","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A2.311",NA,"High","Low","Low","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.312",NA,"High","Low","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A2.313",NA,"High","Low","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A2.321",NA,"High","Low","Low","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.322",NA,"High","Low","Low","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.323",NA,"High",NA,"Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A2.41",NA,"High","Low","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A2.411",NA,"High","Low","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A2.4111",NA,"High","Low","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A2.4112",NA,"High","Low","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A2.4113",NA,"High","Low","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A2.4114",NA,"High","Low","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A2.4115",NA,"High","Low","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A2.421",NA,"High","Medium","Medium","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.431",NA,"Not sensitive","Low","Low","Low","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A2.6111",NA,"High","Low","High","Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A2.711",NA,"Medium","Not sensitive","Medium","Low","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A2.72",NA,"High","Medium","Medium","Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A2.721",NA,"High","Medium","Medium","Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A2.7211",NA,"High","Medium","Medium","Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A2.7212",NA,"High","Medium","Medium","Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A2.7213",NA,"High","Medium","Medium","Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A3.111",NA,"Not sensitive","Medium",NA,"Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A3.1111",NA,"Not sensitive","Medium",NA,"Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A3.1112",NA,"Not sensitive","Medium",NA,"Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A3.112",NA,"Not sensitive","Medium",NA,"Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A3.113",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.115",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.1151",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.1152",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.1153",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.116",NA,"Not sensitive","Medium",NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A3.1161",NA,"Not sensitive","Medium",NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A3.117",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.121",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.122",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.123",NA,"High",NA,NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.124",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.125",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.126",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.127",NA,"Not sensitive","Medium",NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A3.211",NA,"High","Medium",NA,"Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A3.2111",NA,"High","Medium",NA,"Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A3.2112",NA,"High","Low","Medium","Medium","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A3.2113","Not sensitive","High","Medium","High","Medium","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A3.212",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.2121",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.2122",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.213",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.2131",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.2132",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.214",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.2141",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.2142",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.2143",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.2144",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.215",NA,"Not sensitive","Medium",NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A3.216",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.217",NA,"Not sensitive",NA,"High","Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A3.221",NA,"High","Low",NA,"Medium","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A3.222",NA,"High","Low",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.223",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.224",NA,"High",NA,NA,"Medium","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A3.225",NA,"Not sensitive",NA,NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A3.311",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.312",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.3121",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.3122",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.3123",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.313",NA,"Medium","Medium",NA,"Low","Not assessed",NA,"High","Not sensitive","Not sensitive","Not sensitive"
"A3.3131",NA,"High","Medium",NA,"Low","Not assessed",NA,"High","Not sensitive","Not sensitive","Not sensitive"
"A3.3132",NA,"Medium","Medium",NA,"Low","Not assessed",NA,"High","Not sensitive","Not sensitive","Not sensitive"
"A3.3133",NA,"Medium","Medium",NA,"Low","Not assessed",NA,"High","Not sensitive","Not sensitive","Not sensitive"
"A3.3134",NA,"Not sensitive","Medium",NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A3.314",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.315",NA,"High","Low","Low","Low","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A3.321",NA,"High",NA,NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.322",NA,"High",NA,NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.323",NA,"High",NA,NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive"
"A3.341",NA,"Insufficient evidence","Low",NA,"Low","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A3.342",NA,"Insufficient evidence","High",NA,"High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A3.343",NA,"Medium","Medium",NA,"Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A3.344",NA,"Insufficient evidence","Medium",NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A3.361",NA,"Medium","Medium",NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A3.362",NA,"Insufficient evidence",NA,NA,"Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A3.363",NA,"Insufficient evidence",NA,"Low","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A3.711",NA,"Not sensitive","Medium",NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A3.712",NA,"Insufficient evidence",NA,NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A3.713",NA,"Insufficient evidence",NA,NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A3.714",NA,"Insufficient evidence",NA,NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A3.715",NA,"Insufficient evidence",NA,NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A3.716",NA,"Not sensitive",NA,NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.111",NA,"Not sensitive",NA,NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.112",NA,"Insufficient evidence",NA,NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.1121",NA,"Insufficient evidence",NA,NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.1122",NA,"Insufficient evidence",NA,NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.12",NA,"Insufficient evidence","High",NA,"High","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.121",NA,"Insufficient evidence","High",NA,"High","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.131",NA,"Insufficient evidence",NA,NA,"Medium","Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.1311",NA,"Insufficient evidence","High",NA,"High","Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.1312",NA,"Insufficient evidence",NA,NA,"Medium","Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.1313",NA,"Insufficient evidence",NA,NA,"Medium","Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.132",NA,"Insufficient evidence",NA,NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.133",NA,"Medium","High",NA,"Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.134",NA,"Insufficient evidence","Medium",NA,"Low","Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.1341",NA,"Insufficient evidence","Medium",NA,"Low","Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.1342",NA,"Insufficient evidence","Medium",NA,"Low","Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.1343",NA,"Insufficient evidence","Medium",NA,"Low","Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.135",NA,"Insufficient evidence","Medium","Medium","Medium","Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.136",NA,"Insufficient evidence",NA,NA,"Medium","Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.137",NA,"Insufficient evidence","Medium",NA,"Low","Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.138",NA,"Insufficient evidence",NA,NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.139",NA,"Insufficient evidence",NA,NA,"Medium","Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.211",NA,"Medium","High",NA,"Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.2111",NA,"Medium","High",NA,"Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.2112",NA,"Medium","High",NA,"Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.212",NA,"Insufficient evidence",NA,NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.2121",NA,"Insufficient evidence",NA,NA,"Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.2122",NA,"Insufficient evidence","Insufficient evidence",NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.213",NA,"Not sensitive",NA,NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.214",NA,"Insufficient evidence",NA,NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.2141",NA,"Insufficient evidence","Medium",NA,"Low","Not assessed","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.2142",NA,"Insufficient evidence",NA,NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.2143",NA,"Insufficient evidence",NA,NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.2144",NA,"Insufficient evidence",NA,NA,"Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.2145",NA,"Insufficient evidence",NA,NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.2146",NA,"Insufficient evidence",NA,NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.215",NA,"Insufficient evidence","Insufficient evidence",NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A4.22",NA,"Not sensitive","Not sensitive","Medium","Medium","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A4.221",NA,"Not sensitive","Not sensitive","Medium","Medium","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A4.2211",NA,"Not sensitive","Not sensitive","Medium","Medium","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
"A4.2212",NA,"Not sensitive","Not sensitive","Medium","Medium","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive"
