"EUNISCode","B1","B3","B5","B6","D1","D2","D6","O1","O3","O4","P1","P2","P3","P8","NA"
"A1.151",NA,"Insufficient evidence","High","High",NA,NA,"High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.152",NA,"Medium","Medium","Not sensitive",NA,NA,"Medium","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.153",NA,"Medium","Medium","Not sensitive","High","Medium","Medium","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.21",NA,"Not sensitive","Not sensitive","Medium",NA,NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.211",NA,"Insufficient evidence",NA,"Medium",NA,NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive",NA,NA
"A1.212",NA,"Not sensitive","Medium","Medium",NA,NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.213",NA,"Not sensitive","Not sensitive","Medium",NA,NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.214",NA,"Medium","Medium","Not sensitive",NA,NA,"Medium","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.2141",NA,"Medium","Medium","Not sensitive",NA,NA,"Medium","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.2142",NA,"High","Low","Medium","Medium","Medium","Medium","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.2143","Not sensitive","Not sensitive","Medium","Medium","High","High","Medium","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.215",NA,"Not sensitive","Not sensitive","Medium",NA,"Medium","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence",NA
"A1.221",NA,"High","Medium","Medium",NA,NA,"Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.222",NA,"High","Medium","Medium",NA,NA,"Medium","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.223","Not sensitive","High","Medium","Medium","High","High","Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive",NA,NA
"A1.311",NA,"Insufficient evidence","Medium","Medium",NA,NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive",NA,NA
"A1.312",NA,"Not sensitive","Medium","Medium",NA,NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.3121",NA,"Not sensitive","Medium","Medium",NA,NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.3122",NA,"Not sensitive","Medium","Not sensitive",NA,NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.313",NA,"Medium","Medium","Medium",NA,NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.3131",NA,"Medium","Medium","Medium",NA,NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.3132",NA,"Medium","Medium","Medium","High","Medium","Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.314",NA,"Insufficient evidence","High","High",NA,NA,"High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.3141",NA,"Insufficient evidence","High","High",NA,NA,"High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.3142",NA,"Insufficient evidence","High","High","High","High","High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.315",NA,"Medium","Medium","Not sensitive",NA,NA,"Medium","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.3152",NA,"Medium","Medium","Not sensitive","High","High","Medium","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.321",NA,"Insufficient evidence",NA,"Medium",NA,NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive",NA,NA
"A1.322",NA,"Not sensitive","Medium","Medium",NA,NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.323",NA,"Medium","Medium","Medium","High","Medium","Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.324",NA,"Insufficient evidence","High","Medium",NA,NA,"High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Low",NA
"A1.325",NA,"Insufficient evidence","High","High","High","High","High","Not assessed",NA,"High","Not sensitive","Not sensitive","Not sensitive","Low",NA
"A1.326",NA,"High","Medium","Medium",NA,NA,"Medium","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.327",NA,"Insufficient evidence",NA,"Medium",NA,"Medium","Medium","Not assessed","Insufficient evidence","Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.411",NA,"High","Low","Low",NA,NA,"Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.4112",NA,"High","Medium","Medium",NA,NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence",NA
"A1.4113",NA,"High","Low","Medium",NA,NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.4114",NA,"High","Low","Medium",NA,NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.412",NA,"High","Medium","Medium",NA,NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.4121",NA,"High","Low","Low",NA,NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.413",NA,"Medium","Medium","Medium",NA,"Low","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium",NA
"A1.414",NA,"High","Low","Low","Medium","Low","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.421",NA,"Not sensitive","Low","Low",NA,NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.441",NA,"Insufficient evidence",NA,NA,"Medium","Low","Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive",NA,NA
"A1.442",NA,"Insufficient evidence",NA,NA,"Medium","Low","Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive",NA,NA
"A1.443",NA,"Insufficient evidence",NA,NA,"Medium","Low","Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive",NA,NA
"A1.444",NA,"Insufficient evidence",NA,NA,"Medium","Low","Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive",NA,NA
"A1.445",NA,"Insufficient evidence","Insufficient evidence",NA,NA,NA,"Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA,NA
"A1.446",NA,"Insufficient evidence","Low","Low",NA,NA,"Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.447",NA,"Insufficient evidence","Low","Low",NA,NA,"Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.448",NA,"Insufficient evidence",NA,"Low",NA,NA,"Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.449",NA,"Not sensitive",NA,"Low",NA,NA,"Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.44A",NA,"Not sensitive",NA,NA,NA,NA,"Not sensitive","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.451",NA,"Not sensitive","Low","Low",NA,NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.452",NA,"Not sensitive","Low","Low",NA,NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A2.111",NA,NA,NA,NA,"Medium","Not sensitive","Not sensitive","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A2.112","Not sensitive","Not sensitive",NA,"Low","Medium","Medium","Low","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A2.211","Not sensitive","Not sensitive","Medium","Low","Medium","Low","Low","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive",NA,NA
"A2.22",NA,"Not sensitive",NA,NA,"Medium","Not sensitive","Not sensitive","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A2.221",NA,NA,NA,NA,"Medium","Not sensitive","Not sensitive","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A2.222",NA,"Not sensitive",NA,"Low","Medium","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A2.2221",NA,"Not sensitive",NA,"Low","Medium","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A2.2222",NA,"Not sensitive",NA,"Low","Medium","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A2.223",NA,"Not sensitive",NA,"Low","Medium","Low","Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A2.231",NA,"High","Medium","Medium","Medium","Low","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low",NA
"A2.2312",NA,"High","Medium","Medium","Medium","Low","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low",NA
"A2.241",NA,"Insufficient evidence","Medium","Medium","Medium","High","Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low",NA
"A2.242",NA,"High","Medium","Medium","Medium","Medium","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low",NA
"A2.243",NA,"High","Low","Low","Medium","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A2.244",NA,"Medium",NA,"Low","Medium","Low","Low","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A2.245",NA,"High","Low","Low","Medium","Not sensitive","Not sensitive","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A2.311",NA,"High","Low","Low","High","Low","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A2.312",NA,"High","Low","Low","Medium","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A2.313",NA,"High","Low","Low","Medium","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A2.321",NA,"High","Low","Low","Medium","Low","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A2.322",NA,"High","Low","Low","Medium","Low","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A2.323",NA,"High",NA,"Low","Medium","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A2.41",NA,"High","Low","Low","Medium","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A2.411",NA,"High","Low","Low","Medium","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A2.4111",NA,"High","Low","Low","Medium","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A2.4112",NA,"High","Low","Low","Medium","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A2.4113",NA,"High","Low","Low","Medium","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A2.4114",NA,"High","Low","Low","Medium","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A2.4115",NA,"High","Low","Low","Medium","Low","Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A2.421",NA,"High","Medium","Medium","Medium","Medium","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low",NA
"A2.431",NA,"Not sensitive","Low","Low","Medium","Low","Low","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A2.6111",NA,"High","Low","High","High","High","Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A2.711",NA,"Medium","Not sensitive","Medium","Medium","Medium","Low","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Low",NA
"A2.72",NA,"High","Medium","Medium","High","Medium","Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A2.721",NA,"High","Medium","Medium","High","Medium","Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A2.7211",NA,"High","Medium","Medium","High","Medium","Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A2.7212",NA,"High","Medium","Medium","High","Medium","Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A2.7213",NA,"High","Medium","Medium","High","Medium","Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A3.111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.1111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.1112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.1151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.1152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.1153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.1161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.2111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.2112",NA,"High","Low","Medium","Medium","Medium","Medium","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A3.2113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.2121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.2122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.2131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.2132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.2141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.2142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.2143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.2144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.3121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.3122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.3123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.3131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.3132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.3133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.3134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.315",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.321",NA,"High",NA,"Low",NA,NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A3.322",NA,"High",NA,"Low",NA,NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A3.323",NA,"High",NA,"Low",NA,NA,"Medium","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A3.341",NA,"Insufficient evidence","Low","Low",NA,NA,"Low","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A3.342",NA,"Insufficient evidence","High","Medium",NA,NA,"High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A3.343",NA,"Medium","Medium","Medium",NA,NA,"Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence",NA
"A3.344",NA,"Insufficient evidence","Medium","Medium",NA,NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Medium",NA
"A3.361",NA,"Medium","Medium","High",NA,NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A3.362",NA,"Insufficient evidence",NA,NA,NA,NA,"Low","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A3.363",NA,"Insufficient evidence",NA,NA,"Medium","Low","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A3.711",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.712",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.713",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.714",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.715",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.716",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.1121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.1122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.1311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.1312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.1313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.1341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.1342",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.1343",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.2111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.2112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.2121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.2122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.2141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.2142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
