"EUNISCode","B1","B3","B4","B5","B6","D2","D3","D5","D6","L2sb","L2sed","O1","O3","O4","P1","P2","P3","P6","P7","P8"
"A1.126",NA,"High","Not sensitive","Low","High",NA,"Not sensitive","Low","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.127","Not sensitive","Not sensitive","Not sensitive","High","Low","High","Not sensitive","Medium","Medium","High","High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence",NA
"A1.151",NA,"Insufficient evidence","Insufficient evidence","High","High",NA,"Medium","Medium","High","High","High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium","Not sensitive"
"A1.152",NA,"Medium","Not sensitive","Medium","Not sensitive",NA,"Low","Not sensitive","Medium","High",NA,"Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Not sensitive"
"A1.153",NA,"Medium","Not sensitive","Medium","Not sensitive","Medium","Low","Not sensitive","Medium","High","High","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Not sensitive"
"A1.21",NA,"Not sensitive","Insufficient evidence","Not sensitive","Medium",NA,"Medium","Medium","Medium","High",NA,"Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium","Not sensitive"
"A1.211",NA,"Insufficient evidence","Insufficient evidence",NA,"Medium",NA,"Not sensitive","Medium","Medium","High",NA,"Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium",NA
"A1.212",NA,"Not sensitive","Insufficient evidence","Medium","Medium",NA,"Medium","Low","Medium","High",NA,"Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium","Not sensitive"
"A1.213",NA,"Not sensitive","Insufficient evidence","Not sensitive","Medium",NA,"Medium","Medium","Medium","High",NA,"Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium","Not sensitive"
"A1.214",NA,"Medium","Not sensitive","Medium","Not sensitive",NA,"Low","Low","Medium","High",NA,"Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Not sensitive"
"A1.2141",NA,"Medium","Not sensitive","Medium","Not sensitive",NA,"Low","Low","Medium","High",NA,"Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Not sensitive"
"A1.2142",NA,"High","Not sensitive","Low","Medium","Medium","Low","Low","Medium","High","High","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.2143","Not sensitive","Not sensitive","Not sensitive","Medium","Medium","High","Low","Medium","Medium","High",NA,"Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.215",NA,"Not sensitive","Insufficient evidence","Not sensitive","Medium","Medium","Not sensitive","Not sensitive","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence"
"A1.221",NA,"High","Medium","Medium","Medium",NA,"Not sensitive","Medium","Medium","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.222",NA,"High","Medium","Medium","Medium",NA,"Low","Medium","Medium","High",NA,"Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.223","Not sensitive","High","Medium","Medium","Medium","High","Not sensitive","Medium","Medium","High","High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.311",NA,"Insufficient evidence","Insufficient evidence","Medium","Medium",NA,"Not sensitive","Medium","Medium","High",NA,"Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium",NA
"A1.312",NA,"Not sensitive","Insufficient evidence","Medium","Medium",NA,"Not sensitive","Low","Medium","High",NA,"Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium","Not sensitive"
"A1.3121",NA,"Not sensitive","Insufficient evidence","Medium","Medium",NA,"Not sensitive","Low","Medium","High",NA,"Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium","Not sensitive"
"A1.3122",NA,"Not sensitive","Not sensitive","Medium","Not sensitive",NA,"Not sensitive","Low","Medium","High",NA,"Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium","Not sensitive"
"A1.313",NA,"Medium","Insufficient evidence","Medium","Medium",NA,"Medium","Medium","Medium","High",NA,"Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium","Not sensitive"
"A1.3131",NA,"Medium","Insufficient evidence","Medium","Medium",NA,"Medium","Medium","Medium","High",NA,"Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium","Not sensitive"
"A1.3132",NA,"Medium","Insufficient evidence","Medium","Medium","Medium","Medium","Medium","Medium","High","High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium","Not sensitive"
"A1.314",NA,"Insufficient evidence","Insufficient evidence","High","High",NA,"Not sensitive","Medium","High","High",NA,"Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium","Not sensitive"
"A1.3141",NA,"Insufficient evidence","Insufficient evidence","High","High",NA,"Not sensitive","Medium","High","High",NA,"Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium","Not sensitive"
"A1.3142",NA,"Insufficient evidence","Insufficient evidence","High","High","High","Not sensitive","Medium","High","High","High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium","Not sensitive"
"A1.315",NA,"Medium","Not sensitive","Medium","Not sensitive",NA,"Low","Low","Medium","High",NA,"Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Not sensitive"
"A1.3152",NA,"Medium","Not sensitive","Medium","Not sensitive","High","Low","Low","Medium","High","High","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Not sensitive"
"A1.321",NA,"Insufficient evidence","Insufficient evidence",NA,"Medium",NA,"Not sensitive","Medium","Medium","High",NA,"Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium",NA
"A1.322",NA,"Not sensitive","Insufficient evidence","Medium","Medium",NA,"Medium","Medium","Medium","High",NA,"Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.323",NA,"Medium","Insufficient evidence","Medium","Medium","Medium","Medium","Medium","Medium","High","High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium","Not sensitive"
"A1.324",NA,"Insufficient evidence","Insufficient evidence","High","Medium",NA,"Not sensitive","Medium","High","High",NA,"Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium","Low"
"A1.325",NA,"Insufficient evidence","Insufficient evidence","High","High","High","Not sensitive","High","High","Not sensitive","Not sensitive","Not assessed",NA,"High","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium","Low"
"A1.326",NA,"High","Medium","Medium","Medium",NA,"Not sensitive","Medium","Medium","High",NA,"Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.327",NA,"Insufficient evidence","Insufficient evidence",NA,"Medium","Medium","Not sensitive","Medium","Medium","High",NA,"Not assessed","Insufficient evidence","Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium","Not sensitive"
"A1.411",NA,"High","Not sensitive","Low","Low",NA,"Not sensitive","Medium","Low","High",NA,"Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.4112",NA,"High","Medium","Medium","Medium",NA,"Not sensitive","Not sensitive","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence"
"A1.4113",NA,"High","Not sensitive","Low","Medium",NA,"Medium","Medium","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.4114",NA,"High","Not sensitive","Low","Medium",NA,"Medium","Medium","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.412",NA,"High","Low","Medium","Medium",NA,"Medium","Medium","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium","Not sensitive"
"A1.4121",NA,"High","Not sensitive","Low","Low",NA,"Not sensitive","Medium","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.413",NA,"Medium","Insufficient evidence","Medium","Medium","Low","Low","Low","Low","High","High","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium"
"A1.414",NA,"High","Not sensitive","Low","Low","Low","Not sensitive","Low","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.421",NA,"Not sensitive","Not sensitive","Low","Low",NA,"Not sensitive","Low","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.441",NA,"Insufficient evidence","Insufficient evidence",NA,NA,"Low",NA,NA,"Low","High",NA,"Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence","Insufficient evidence",NA
"A1.442",NA,"Insufficient evidence","Insufficient evidence",NA,NA,"Low",NA,NA,"Low","High",NA,"Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence","Insufficient evidence",NA
"A1.443",NA,"Insufficient evidence","Insufficient evidence",NA,NA,"Low",NA,"Low","Low","High",NA,"Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence","Insufficient evidence",NA
"A1.444",NA,"Insufficient evidence","Insufficient evidence",NA,NA,"Low",NA,"Low","Low","High",NA,"Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence","Insufficient evidence",NA
"A1.445",NA,"Insufficient evidence","Insufficient evidence","Insufficient evidence",NA,NA,NA,"Not sensitive","Medium","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence",NA
"A1.446",NA,"Insufficient evidence","Insufficient evidence","Low","Low",NA,"Low","Low","Low","High",NA,"Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.447",NA,"Insufficient evidence","Insufficient evidence","Low","Low",NA,"Low","Low","Low","High",NA,"Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.448",NA,"Insufficient evidence","Insufficient evidence",NA,"Low",NA,"Low","Low","Low","High",NA,"Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.449",NA,"Not sensitive","Not sensitive",NA,"Low",NA,"Not sensitive","Not sensitive","Low","High",NA,"Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.44A",NA,"Not sensitive",NA,NA,NA,NA,"Not sensitive","Not sensitive","Not sensitive","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.451",NA,"Not sensitive","Not sensitive","Low","Low",NA,"Not sensitive","Low","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.452",NA,"Not sensitive","Not sensitive","Low","Low",NA,"Not sensitive","Low","Low","High","High","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.111",NA,NA,NA,NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","High","High","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.112","Not sensitive","Not sensitive","Insufficient evidence",NA,"Low","Medium","Low","Medium","Low","High","High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive",NA,"Not sensitive","Not sensitive"
"A2.211","Not sensitive","Not sensitive","Insufficient evidence","Medium","Low","Low","Not sensitive","Not sensitive","Low","High","High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive",NA,"Not sensitive",NA
"A2.22",NA,"Not sensitive",NA,NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","High","High","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.221",NA,NA,NA,NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","High","High","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.222",NA,"Not sensitive","Not sensitive",NA,"Low","Low","Low","Not sensitive","Low","High","High","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.2221",NA,"Not sensitive","Not sensitive",NA,"Low","Low","Low","Not sensitive","Low","High","High","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.2222",NA,"Not sensitive","Not sensitive",NA,"Low","Low","Low","Not sensitive","Low","High","High","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.223",NA,"Not sensitive","Insufficient evidence",NA,"Low","Low","Low","Not sensitive","Low","High","High","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.231",NA,"High","Insufficient evidence","Medium","Medium","Low","Not sensitive","Not sensitive","Low","High","Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low"
"A2.2312",NA,"High","Insufficient evidence","Medium","Medium","Low","Not sensitive","Not sensitive","Low","High","Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low"
"A2.241",NA,"Insufficient evidence","Low","Medium","Medium","High","Not sensitive","Not sensitive","Medium","High","High","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low"
"A2.242",NA,"High","Medium","Medium","Medium","Medium","Not sensitive","Low","Low","High","High","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low"
"A2.243",NA,"High","Not sensitive","Low","Low","Low","Not sensitive","Low","Low","High","High","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.244",NA,"Medium","Low",NA,"Low","Low","Low","Low","Low","High","High","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.245",NA,"High","Not sensitive","Low","Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive","High","High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.311",NA,"High","Low","Low","Low","Low","Not sensitive","Not sensitive","Low","High","High","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.312",NA,"High","Not sensitive","Low","Low","Low","Not sensitive","Low","Low","High","High","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.313",NA,"High","Not sensitive","Low","Low","Low","Not sensitive","Low","Low","High","High","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.321",NA,"High","Insufficient evidence","Low","Low","Low","Not sensitive","Not sensitive","Low","High","High","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.322",NA,"High","Not sensitive","Low","Low","Low","Not sensitive","Not sensitive","Low","High","High","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.323",NA,"High","Not sensitive",NA,"Low","Low","Low","Not sensitive","Low","High","High","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.41",NA,"High","Not sensitive","Low","Low","Low","Not sensitive","Low","Low","High","High","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.411",NA,"High","Not sensitive","Low","Low","Low","Not sensitive","Low","Low","High","High","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.4111",NA,"High","Not sensitive","Low","Low","Low","Not sensitive","Low","Low","High","High","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.4112",NA,"High","Not sensitive","Low","Low","Low","Not sensitive","Low","Low","High","High","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.4113",NA,"High","Not sensitive","Low","Low","Low","Not sensitive","Low","Low","High","High","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.4114",NA,"High","Not sensitive","Low","Low","Low","Not sensitive","Low","Low","High","High","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.4115",NA,"High","Not sensitive","Low","Low","Low","Not sensitive","Low","Low","High","High","Not assessed",NA,NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.421",NA,"High","Medium","Medium","Medium","Medium","Not sensitive","Low","Low","High","High","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low"
"A2.431",NA,"Not sensitive","Low","Low","Low","Low","Low","Low","Low","High",NA,"Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.6111",NA,"High","Medium","Low","High","High","High","Medium","Medium","High","High","Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Medium","Medium","Not sensitive"
"A2.711",NA,"Medium","Insufficient evidence","Not sensitive","Medium","Medium","Medium","Not sensitive","Low","High",NA,"Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low"
"A2.72",NA,"High","Medium","Medium","Medium","Medium","Not sensitive","Medium","Medium","High","Not sensitive","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.721",NA,"High","Medium","Medium","Medium","Medium","Not sensitive","Medium","Medium","High","Not sensitive","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.7211",NA,"High","Medium","Medium","Medium","Medium","Not sensitive","Medium","Medium","High","High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.7212",NA,"High","Medium","Medium","Medium","Medium","Not sensitive","Medium","Medium","High","High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A2.7213",NA,"High","Medium","Medium","Medium","Medium","Not sensitive","Medium","Medium","High","High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A3.111",NA,"Not sensitive","Not sensitive","Medium","Medium",NA,"Low","Not sensitive","Low","High",NA,"Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Not sensitive"
"A3.1111",NA,"Not sensitive","Not sensitive","Medium","Medium",NA,"Low","Not sensitive","Low","High",NA,"Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Not sensitive"
"A3.1112",NA,"Not sensitive","Not sensitive","Medium","Medium",NA,"Low","Not sensitive","Low","High",NA,"Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Not sensitive"
"A3.112",NA,"Not sensitive","Not sensitive","Medium","Medium",NA,"Low","Not sensitive","Low","High",NA,"Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Not sensitive"
"A3.113",NA,"High","Low","Medium","Medium",NA,"Medium","Not sensitive","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Not sensitive"
"A3.115",NA,"High","Low","Medium","Medium",NA,"Medium","Not sensitive","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Not sensitive"
"A3.1151",NA,"High","Low","Medium","Medium",NA,"Medium","Not sensitive","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Not sensitive"
"A3.1152",NA,"High","Low","Medium","Medium",NA,"Medium","Not sensitive","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Not sensitive"
"A3.1153",NA,"High","Low","Medium","Medium",NA,"Medium","Not sensitive","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Not sensitive"
"A3.116",NA,"Not sensitive","Not sensitive","Medium","Medium",NA,"Medium","Not sensitive","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence"
"A3.1161",NA,"Not sensitive","Not sensitive","Medium","Medium",NA,"Medium","Not sensitive","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence"
"A3.117",NA,"High","Low","Medium","Medium",NA,"Medium","Not sensitive","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Not sensitive"
"A3.121",NA,"High","Insufficient evidence","Medium","Medium",NA,"Low","Not sensitive","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Low","Low","Not sensitive"
"A3.122",NA,"High","Insufficient evidence","Medium","Medium",NA,"Low","Not sensitive","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Low","Low","Not sensitive"
"A3.123",NA,"High","Low",NA,"Medium",NA,"Medium","Not sensitive","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Not sensitive"
"A3.124",NA,"High","Insufficient evidence","Medium","Medium",NA,"Low","Not sensitive","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Low","Low","Not sensitive"
"A3.125",NA,"High","Insufficient evidence","Medium","Medium",NA,"Low","Not sensitive","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Low","Low","Not sensitive"
"A3.126",NA,"High","Insufficient evidence","Medium","Medium",NA,"Medium","Not sensitive","Medium","High",NA,"Not assessed",NA,"Medium","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Medium","Not sensitive"
"A3.127",NA,"Not sensitive","Not sensitive","Medium","Medium",NA,"Low","Not sensitive","Low","High","High","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Insufficient evidence"
"A3.211",NA,"High","Not sensitive","Medium","Medium",NA,"Low","Not sensitive","Low","High",NA,"Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Not sensitive"
"A3.2111",NA,"High","Not sensitive","Medium","Medium",NA,"Low","Not sensitive","Low","High",NA,"Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Not sensitive"
"A3.2112",NA,"High","Not sensitive","Low","Medium","Medium","Low","Low","Medium","High","High","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
