"EUNISCode","B1","B3","B5","B6","D2","D3","D5","D6","L2sb","L2sed","O1","O2","O3","O4","P1","P2","P3","P6","P7","P8","NA"
"A1.323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1.324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1.325",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1.326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1.327",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1.411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1.4112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1.4113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1.4114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1.412",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1.4121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1.413",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1.414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1.421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1.441",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1.442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1.443",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1.444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1.445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1.446",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1.447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1.448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1.449",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1.44A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1.451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1.452",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A2.111",NA,NA,NA,NA,1,1,1,1,6,6,3,2,NA,NA,1,1,1,1,1,1,NA
"A2.112",1,1,NA,4,5,4,5,4,6,6,3,2,NA,2,1,1,1,NA,1,1,NA
"A2.211",1,1,5,4,4,1,1,4,6,6,3,2,NA,2,1,1,1,NA,1,NA,NA
"A2.22",NA,1,NA,NA,1,1,1,1,6,6,3,2,NA,NA,1,1,1,1,1,1,NA
"A2.221",NA,NA,NA,NA,1,1,1,1,6,6,3,2,NA,NA,1,1,1,1,1,1,NA
"A2.222",NA,1,NA,4,4,4,1,4,6,6,3,2,NA,NA,1,1,1,1,1,1,NA
"A2.2221",NA,1,NA,4,4,4,1,4,6,6,3,2,NA,NA,1,1,1,1,1,1,NA
"A2.2222",NA,1,NA,4,4,4,1,4,6,6,3,2,NA,NA,1,1,1,1,1,1,NA
"A2.223",NA,1,NA,4,4,4,1,4,6,6,3,2,NA,4,1,1,1,1,1,1,NA
"A2.231",NA,6,5,5,4,1,1,4,6,5,3,2,NA,1,1,1,1,1,1,4,NA
"A2.2312",NA,6,5,5,4,1,1,4,6,5,3,2,NA,1,1,1,1,1,1,4,NA
"A2.241",NA,2,5,5,6,1,1,5,6,6,3,2,NA,1,1,1,1,1,1,4,NA
"A2.242",NA,6,5,5,5,1,4,4,6,6,3,2,NA,1,1,1,1,1,1,4,NA
"A2.243",NA,6,4,4,4,1,4,4,6,6,3,2,NA,NA,1,1,1,1,1,1,NA
"A2.244",NA,5,NA,4,4,4,4,4,6,6,3,2,NA,4,1,1,1,1,1,1,NA
"A2.245",NA,6,4,4,1,1,1,1,6,6,3,2,NA,2,1,1,1,1,1,1,NA
"A2.311",NA,6,4,4,4,1,1,4,6,6,3,2,NA,1,1,1,1,1,1,1,NA
"A2.312",NA,6,4,4,4,1,4,4,6,6,3,2,NA,NA,1,1,1,1,1,1,NA
"A2.313",NA,6,4,4,4,1,4,4,6,6,3,2,NA,NA,1,1,1,1,1,1,NA
"A2.321",NA,6,4,4,4,1,1,4,6,6,3,2,NA,1,1,1,1,1,1,1,NA
"A2.322",NA,6,4,4,4,1,1,4,6,6,3,2,NA,1,1,1,1,1,1,1,NA
"A2.323",NA,6,NA,4,4,4,1,4,6,6,3,2,NA,NA,1,1,1,1,1,1,NA
"A2.41",NA,6,4,4,4,1,4,4,6,6,3,2,NA,NA,1,1,1,1,1,1,NA
"A2.411",NA,6,4,4,4,1,4,4,6,6,3,2,NA,NA,1,1,1,1,1,1,NA
"A2.4111",NA,6,4,4,4,1,4,4,6,6,3,2,NA,NA,1,1,1,1,1,1,NA
"A2.4112",NA,6,4,4,4,1,4,4,6,6,3,2,NA,NA,1,1,1,1,1,1,NA
"A2.4113",NA,6,4,4,4,1,4,4,6,6,3,2,NA,NA,1,1,1,1,1,1,NA
"A2.4114",NA,6,4,4,4,1,4,4,6,6,3,2,NA,NA,1,1,1,1,1,1,NA
"A2.4115",NA,6,4,4,4,1,4,4,6,6,3,2,NA,NA,1,1,1,1,1,1,NA
"A2.421",NA,6,5,5,5,1,4,4,6,6,3,2,NA,1,1,1,1,1,1,4,NA
"A2.431",NA,1,4,4,4,4,4,4,6,NA,3,2,NA,2,1,1,1,1,1,1,NA
"A2.6111",NA,6,4,6,6,6,5,5,6,6,3,2,NA,5,1,1,1,5,5,1,NA
"A2.711",NA,5,1,5,5,5,1,4,6,NA,3,2,NA,2,1,1,1,1,1,4,NA
"A2.72",NA,6,5,5,5,1,5,5,6,1,3,2,NA,2,1,1,1,1,1,1,NA
"A2.721",NA,6,5,5,5,1,5,5,6,1,3,2,NA,2,1,1,1,1,1,1,NA
"A2.7211",NA,6,5,5,5,1,5,5,6,6,3,2,NA,2,1,1,1,1,1,1,NA
"A2.7212",NA,6,5,5,5,1,5,5,6,6,3,2,NA,2,1,1,1,1,1,1,NA
"A2.7213",NA,6,5,5,5,1,5,5,6,6,3,2,NA,2,1,1,1,1,1,1,NA
"A3.111",NA,1,5,5,NA,4,1,4,6,NA,3,2,NA,4,1,1,1,1,4,1,NA
"A3.1111",NA,1,5,5,NA,4,1,4,6,NA,3,2,NA,4,1,1,1,1,4,1,NA
"A3.1112",NA,1,5,5,NA,4,1,4,6,NA,3,2,NA,4,1,1,1,1,4,1,NA
"A3.112",NA,1,5,5,NA,4,1,4,6,NA,3,2,NA,4,1,1,1,1,4,1,NA
"A3.113",NA,6,5,5,NA,5,1,5,6,NA,3,2,NA,5,1,1,1,1,4,1,NA
"A3.115",NA,6,5,5,NA,5,1,5,6,NA,3,2,NA,5,1,1,1,1,4,1,NA
"A3.1151",NA,6,5,5,NA,5,1,5,6,NA,3,2,NA,5,1,1,1,1,4,1,NA
"A3.1152",NA,6,5,5,NA,5,1,5,6,NA,3,2,NA,5,1,1,1,1,4,1,NA
"A3.1153",NA,6,5,5,NA,5,1,5,6,NA,3,2,NA,5,1,1,1,1,4,1,NA
"A3.116",NA,1,5,5,NA,5,1,4,6,NA,3,2,NA,1,1,1,1,1,1,2,NA
"A3.1161",NA,1,5,5,NA,5,1,4,6,NA,3,2,NA,1,1,1,1,1,1,2,NA
"A3.117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.121",NA,6,5,5,NA,4,1,5,6,NA,3,2,NA,5,1,1,1,4,4,1,NA
"A3.122",NA,6,5,5,NA,4,1,5,6,NA,3,2,NA,5,1,1,1,4,4,1,NA
"A3.123",NA,6,NA,5,NA,5,1,5,6,NA,3,2,NA,5,1,1,1,1,4,1,NA
"A3.124",NA,6,5,5,NA,4,1,5,6,NA,3,2,NA,5,1,1,1,4,4,1,NA
"A3.125",NA,6,5,5,NA,4,1,5,6,NA,3,2,NA,5,1,1,1,4,4,1,NA
"A3.126",NA,6,5,5,NA,5,1,5,6,NA,3,2,NA,5,1,1,1,1,5,1,NA
"A3.127",NA,1,5,5,NA,4,1,4,6,6,3,2,NA,1,1,1,1,1,1,2,NA
"A3.211",NA,6,5,5,NA,4,1,4,6,NA,3,2,NA,4,1,1,1,1,4,1,NA
"A3.2111",NA,6,5,5,NA,4,1,4,6,NA,3,2,NA,4,1,1,1,1,4,1,NA
"A3.2112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.2113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.212",NA,6,5,5,NA,5,1,5,6,NA,3,2,NA,5,1,1,1,1,4,4,NA
"A3.2121",NA,6,5,5,NA,5,1,5,6,NA,3,2,NA,5,1,1,1,1,4,4,NA
"A3.2122",NA,6,5,5,NA,5,1,5,6,NA,3,2,NA,5,1,1,1,1,4,4,NA
"A3.213",NA,6,5,5,NA,5,1,5,6,NA,3,2,NA,5,1,1,1,1,4,4,NA
"A3.2131",NA,6,5,5,NA,5,1,5,6,NA,3,2,NA,5,1,1,1,1,4,4,NA
"A3.2132",NA,6,5,5,NA,5,1,5,6,NA,3,2,NA,5,1,1,1,1,4,4,NA
"A3.214",NA,6,5,5,NA,5,1,5,6,NA,3,2,NA,5,1,1,1,1,4,1,NA
"A3.2141",NA,6,5,5,NA,5,1,5,6,NA,3,2,NA,5,1,1,1,1,4,1,NA
"A3.2142",NA,6,5,5,NA,5,1,5,6,NA,3,2,NA,5,1,1,1,1,4,1,NA
"A3.2143",NA,6,5,5,NA,5,1,5,6,NA,3,2,NA,5,1,1,1,1,4,4,NA
"A3.2144",NA,6,5,5,NA,5,1,5,6,NA,3,2,NA,5,1,1,1,1,4,4,NA
"A3.215",NA,1,5,4,NA,1,1,4,6,NA,3,2,NA,1,1,1,1,1,1,2,NA
"A3.216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.221",NA,6,4,5,NA,4,1,5,6,NA,3,2,NA,4,1,1,1,1,4,1,NA
"A3.222",NA,6,4,5,NA,5,4,5,6,NA,3,2,NA,5,1,1,1,1,4,1,NA
"A3.223",NA,6,5,5,NA,5,4,5,6,NA,3,2,NA,5,1,1,1,4,4,1,NA
"A3.224",NA,6,NA,5,NA,5,4,5,6,NA,3,2,NA,4,1,1,1,1,4,1,NA
"A3.225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.311",NA,6,5,5,NA,5,4,5,6,NA,3,2,NA,5,1,1,1,1,5,1,NA
"A3.312",NA,6,5,5,NA,5,4,5,6,NA,3,2,NA,5,1,1,1,4,4,1,NA
"A3.3121",NA,6,5,5,NA,5,4,5,6,NA,3,2,NA,5,1,1,1,4,4,1,NA
"A3.3122",NA,6,5,5,NA,5,4,5,6,NA,3,2,NA,5,1,1,1,4,4,1,NA
"A3.3123",NA,6,5,5,NA,5,4,5,6,NA,3,2,NA,5,1,1,1,1,4,1,NA
"A3.313",NA,5,5,5,NA,4,1,4,6,NA,3,2,NA,6,1,1,1,1,1,1,NA
"A3.3131",NA,6,5,4,NA,4,1,4,6,NA,3,2,NA,6,1,1,1,1,1,1,NA
"A3.3132",NA,5,5,5,NA,4,1,4,6,NA,3,2,NA,6,1,1,1,1,1,1,NA
"A3.3133",NA,5,5,5,NA,4,1,4,6,NA,3,2,NA,6,1,1,1,1,1,1,NA
"A3.3134",NA,1,5,5,NA,5,1,5,6,NA,3,2,NA,2,1,1,1,1,1,2,NA
"A3.314",NA,6,5,5,NA,5,1,5,6,NA,3,2,NA,5,1,1,1,1,1,1,NA
"A3.315",NA,6,4,4,4,1,1,4,6,6,3,2,NA,2,1,1,1,1,4,2,NA
"A3.321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.341",NA,2,4,4,NA,4,5,4,6,NA,3,2,NA,2,1,1,1,1,1,1,NA
"A3.342",NA,2,6,5,NA,1,5,6,6,NA,3,2,NA,2,1,1,1,1,5,1,NA
"A3.343",NA,5,5,5,NA,1,4,5,6,NA,3,2,NA,1,1,1,1,1,5,2,NA
"A3.344",NA,2,5,5,NA,1,5,5,6,NA,3,2,NA,2,1,1,1,1,5,5,NA
"A3.361",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.362",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.711",NA,1,5,5,NA,1,1,4,6,NA,3,2,NA,1,1,1,1,1,1,2,NA
"A3.712",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.713",NA,2,NA,4,NA,4,4,4,6,NA,3,2,NA,1,1,1,1,1,1,1,NA
"A3.714",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.715",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3.716",NA,1,NA,5,NA,1,1,4,6,NA,3,2,NA,1,1,1,1,1,1,1,NA
"A4.111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.1121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.1122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.1311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.1312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.1313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.1341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.1342",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.1343",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.2111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.2112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.2121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.2122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.2141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.2142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.2143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.2144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.2145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.2146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.22",NA,1,1,5,5,1,1,5,6,NA,3,2,NA,NA,1,1,1,1,1,2,NA
"A4.221",NA,1,1,5,5,1,1,5,6,NA,3,2,NA,NA,1,1,1,1,1,2,NA
"A4.2211",NA,1,1,5,5,1,1,5,6,NA,3,2,NA,NA,1,1,1,1,1,2,NA
"A4.2212",NA,1,1,5,5,1,1,5,6,NA,3,2,NA,NA,1,1,1,1,1,2,NA
"A4.231",1,1,5,4,6,1,5,5,6,6,3,2,NA,2,1,1,1,1,2,2,NA
"A4.232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4.2511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
